id,first_name,last_name,gender,DOB,LoyaltyMember,EmailList,Source
57524,Craig,Harris,M,1972-04-08,0.0,0.0,Referral
57723,Bonnie,Farrell,F,1995-10-23,0.0,0.0,Advertisement
57685,Travis,Miller,M,1998-07-22,1.0,0.0,Social
57019,Michael,Wright,X,1980-01-13,1.0,1.0,WalkIn
57673,Jennifer,Woodward,F,1998-06-18,0.0,0.0,Social
57753,Jacob,Bell,M,1992-10-28,0.0,0.0,Newspaper
57043,Melissa,Stewart,F,2004-06-06,1.0,1.0,Newspaper
57576,Melissa,Webb,F,1977-08-24,1.0,1.0,Online
57426,Marc,Larson,M,1985-10-07,1.0,1.0,Newspaper
57502,Michelle,Herrera,F,1978-12-02,0.0,0.0,WalkIn
57614,Lisa,Mcclure,F,2002-05-05,0.0,0.0,Online
57687,Timothy,Ryan,M,2006-01-31,1.0,1.0,WalkIn
57423,Marissa,Brown,F,1974-08-20,0.0,0.0,WalkIn
57472,Jermaine,Odom,M,1999-01-08,0.0,0.0,Social
57721,Anne,Gross,F,1969-03-07,0.0,0.0,Newspaper
57032,Jessica,Norman,F,2001-08-30,0.0,0.0,Social
57198,Valerie,Lee,F,1985-10-16,0.0,1.0,Social
57127,Tyler,Dawson,M,1972-03-01,0.0,1.0,Online
57162,Andrea,Petersen,F,1967-07-18,0.0,0.0,Referral
57352,Brandy,Taylor,F,1967-11-12,0.0,0.0,Referral
57206,Harold,Berry,X,1991-11-28,1.0,1.0,WalkIn
57716,Zachary,Wood,M,2002-04-23,1.0,0.0,Social
57158,Robert,Burke,M,1980-06-08,1.0,0.0,Social
57234,Samantha,Beltran,F,1964-04-16,1.0,1.0,Newspaper
57695,Candace,Wright,F,2007-09-21,1.0,1.0,Social
57458,Michael,Jones,M,1958-04-07,0.0,0.0,Referral
57236,Tammy,Odonnell,F,1971-02-18,0.0,0.0,Social
57675,Jason,Gilbert,M,1983-02-17,0.0,0.0,Social
57211,Timothy,Parsons,M,1995-09-01,0.0,1.0,WalkIn
57715,Matthew,Campbell,M,1986-09-19,0.0,0.0,Online
57068,Jaclyn,Burke,F,1969-03-31,0.0,0.0,Newspaper
57146,Brooke,Hall,F,2002-11-13,0.0,0.0,Online
57683,Kathleen,Castillo,F,1970-03-11,0.0,0.0,WalkIn
57118,Denise,Dillon,F,1964-05-30,0.0,1.0,Social
57677,Amanda,Benson,F,2006-11-07,0.0,1.0,WalkIn
57353,Scott,Bryant,M,2006-03-12,1.0,1.0,Newspaper
57748,Janet,Knight,F,1986-10-06,1.0,1.0,Advertisement
57700,Kristin,Sanchez,F,2005-02-08,1.0,0.0,Online
57717,Brian,Hall,M,1980-08-06,0.0,0.0,Online
57680,Jonathan,Olson,M,1996-12-12,1.0,1.0,WalkIn
57668,Michael,Chan,M,1987-04-03,1.0,0.0,Advertisement
57711,Lisa,Black,F,1996-08-22,0.0,0.0,Social
57610,Richard,Harrell,M,2004-11-30,0.0,0.0,Online
57739,Kevin,Powell,M,1961-03-09,1.0,1.0,WalkIn
57709,Stacy,Evans,F,2000-03-10,1.0,1.0,Referral
57371,Denise,Garrett,F,1957-08-02,0.0,0.0,Online
57507,Amanda,Chang,F,1954-09-26,1.0,1.0,Online
57488,Charlotte,Gomez,F,1972-08-18,1.0,1.0,Referral
57752,Holly,Ruiz,F,1996-03-14,1.0,1.0,WalkIn
57720,Jeffrey,Davis,M,1994-12-06,1.0,0.0,Online
57285,Arthur,Garner,M,1996-09-09,0.0,0.0,Online
57754,William,Walsh,M,1983-01-26,1.0,1.0,WalkIn
57585,Justin,Chan,M,1973-08-07,0.0,1.0,Social
57263,Sherry,Smith,F,2000-10-31,1.0,1.0,WalkIn
57275,Erica,Glass,F,1959-10-08,0.0,0.0,WalkIn
57693,Laurie,Peterson,F,1981-03-01,0.0,0.0,WalkIn
57669,Laurie,Alvarez,F,1986-02-28,0.0,0.0,Social
57464,Jeffrey,Wright,M,1980-11-22,0.0,0.0,WalkIn
57354,Jennifer,Myers,F,1977-07-30,0.0,1.0,WalkIn
57596,Madison,Reid,F,1968-09-26,0.0,1.0,Online
57251,Christopher,Cole,M,1984-04-21,1.0,1.0,Referral
57699,Lauren,Medina,F,1969-07-23,0.0,1.0,Social
57306,Jack,Hunter,M,1981-08-30,1.0,1.0,Advertisement
57714,Todd,Baker,M,1985-01-19,1.0,1.0,WalkIn
57492,Larry,Richards,M,1985-04-21,1.0,0.0,Social
57664,Samantha,Bryant,F,1985-10-17,1.0,1.0,Advertisement
57073,Brenda,Whitehead,F,1957-07-30,0.0,0.0,WalkIn
57561,Peter,Rivas,M,2000-11-30,1.0,1.0,Referral
57758,Mikayla,Rios,F,1970-04-25,1.0,1.0,Online
57387,Stephanie,Watson,F,1959-05-20,0.0,0.0,Referral
57133,Michael,Gonzalez,M,1974-06-16,1.0,1.0,Newspaper
57241,Jasmine,David,F,1977-02-13,0.0,0.0,WalkIn
57298,Morgan,Morgan,F,1989-01-11,0.0,0.0,Online
57396,Jonathan,Khan,M,1996-09-09,0.0,0.0,Social
57337,Jeanette,Brown,X,1997-11-07,1.0,1.0,WalkIn
57098,Crystal,Pratt,F,1957-11-20,1.0,1.0,Online
57262,Carl,Ruiz,M,1961-12-21,0.0,1.0,WalkIn
57010,Teresa,Aguilar,F,2003-04-02,1.0,1.0,Referral
57217,Brandi,Howard,F,1955-09-30,0.0,0.0,Social
57756,Colin,Christensen,M,1985-04-17,0.0,0.0,Online
