EmployeeID,FName,LName,gender,SkillsTraining,SalesmanshipTraining,ProductTraining,DOB,StartDate,TerminationDate,LocationID
56,Sarah,Smith,F,False,True,True,1996-04-26 00:00:00,2022-01-04,2022-06-20,L012
57,Richard,Williams,M,True,True,True,1988-03-02 00:00:00,2022-01-02,2022-11-24,L012
58,Susan,Smith,F,True,True,True,1976-03-21 00:00:00,2022-01-02,,L012
59,Elizabeth,Rodriguez,F,True,True,True,1973-10-20 00:00:00,2022-01-02,,L02
60,Joseph,Martinez,M,False,True,True,1981-11-03 00:00:00,2022-01-01,2023-07-02,L012
61,Susan,Garcia,F,True,True,True,1990-03-08 00:00:00,2023-01-02,,L013
62,Jessica,Davis,F,False,False,True,1994-12-15 00:00:00,2023-01-02,2023-02-06,L013
63,Jennifer,Johnson,F,True,False,True,1988-01-01 00:00:00,2023-01-02,,L013
64,William,Jones,M,True,False,True,2003-08-22 00:00:00,2023-01-02,2023-04-07,L013
65,Linda,Rodriguez,F,False,True,False,1998-02-15 00:00:00,2023-01-02,,L05
66,James,Williams,M,True,False,False,1981-03-23 00:00:00,2023-01-03,,L03
67,Karen,Garcia,F,True,False,True,1978-03-10 00:00:00,2023-01-02,,L05
68,Richard,Brown,M,True,False,True,1985-07-12 00:00:00,2023-01-03,,L013
69,William,Davis,M,True,False,True,1999-06-16 00:00:00,2023-01-03,,L015
70,David,Johnson,M,True,False,False,1996-07-07 00:00:00,2023-01-02,2025-02-03,L11
71,Karen,Martinez,F,True,False,True,1993-09-09 00:00:00,2023-01-03,2023-09-11,L014
72,Richard,Miller,M,True,True,True,1991-04-22 00:00:00,2023-01-02,,L012
73,Mary,Smith,F,True,False,True,1986-12-19 00:00:00,2023-01-02,2023-12-21,L014
74,Susan,Rodriguez,F,False,True,True,1975-09-17 00:00:00,2023-01-04,,L10
75,Linda,Garcia,F,False,False,False,1973-04-05 00:00:00,2023-01-03,,L01
76,John,Garcia,M,False,False,True,1978-04-09 00:00:00,2024-01-02,,L014
77,Susan,Jones,F,True,False,True,1992-06-25 00:00:00,2024-01-04,2025-02-05,L01
78,Thomas,Williams,M,True,True,True,2001-12-26 00:00:00,2024-01-01,,L10
79,Mary,Johnson,F,True,False,False,1999-11-27 00:00:00,2024-01-04,,L03
80,Linda,Smith,F,False,False,False,1997-04-02 00:00:00,2025-01-01,,L05
81,Sarah,Garcia,F,True,True,False,1998-12-08 00:00:00,2025-01-01,,L11
82,David,Martinez,M,False,False,True,1977-01-17 00:00:00,2025-01-04,,L01
83,Elizabeth,Miller,F,False,True,True,1975-04-16 00:00:00,2025-01-01,,L11
84,Karen,Martinez,F,False,True,False,1992-11-17 00:00:00,2025-01-04,,L03
